sample_rank,candidate_rank,full_name,html_url,stars,forks,language,size_kb,default_branch,matched_domains,commit_count_estimate,evidence_type,evidence_url,evidence_title,heading_count,headings,strict_important_ordinary_split_reviewed,module_component_organization_reviewed,broad_typed_or_structured_reviewed,both_strict_important_and_module_reviewed,both_broad_structure_and_module_reviewed,rich_evidence_found,rich_evidence_type,rich_evidence_url,rich_evidence_title,rich_evidence_score,rich_heading_count,rich_bullet_count,rich_text_len,rich_headings
20,41,gatsbyjs/gatsby,https://github.com/gatsbyjs/gatsby,55938,10167,JavaScript,1149713,master,compiler,21866,github_release,https://github.com/gatsbyjs/gatsby/releases/tag/gatsby%405.16.0,gatsby@5.16.0,7,gatsby@5.16.0 | What's Changed | React 19 | Upgrade Guide | New features | Node.js 24 | Notable bugfixes & improvements,no,yes,yes,no,yes,yes,repo_file,https://raw.githubusercontent.com/gatsbyjs/gatsby/master/packages/gatsby/CHANGELOG.md,packages/gatsby/CHANGELOG.md,140,80,1068,250000,Changelog: `gatsby` | [5.16.1](https://github.com/gatsbyjs/gatsby/commits/gatsby@5.16.1/packages/gatsby) (2026-02-10) | Bug Fixes | [5.16.0](https://github.com/gatsbyjs/gatsby/commits/gatsby@5.16.0/packages/gatsby) (2026-01-26) | Features | Other Changes | [5.15.0](https://github.com/gatsbyjs/gatsby/commits/gatsby@5.15.0/packages/gatsby) (2025-08-27) | Chores | [5.14.6](https://github.com/gatsbyjs/gatsby/commits/gatsby@5.14.6/packages/gatsby) (2025-08-06) | [5.14.5](https://github.com/gatsbyjs/gatsby/commits/gatsby@5.14.5/packages/gatsby) (2025-06-20) | [5.14.4](https://github.com/gatsbyjs/gatsby/commits/gatsby@5.14.4/packages/gatsby) (2025-06-06) | [5.14.3](https://github.com/gatsbyjs/gatsby/commits/gatsby@5.14.3/packages/gatsby) (2025-04-09) | [5.14.2](https://github.com/gatsbyjs/gatsby/commits/gatsby@5.14.2/packages/gatsby) (2025-04-07) | [5.14.1](https://github.com/gatsbyjs/gatsby/commits/gatsby@5.14.1/packages/gatsby) (2024-12-20) | [5.14.0](https://github.com/gatsbyjs/gatsby/commits/gatsby@5.14.0/packages/gatsby) (2024-11-06) | Performance Improvements | [5.13.7](https://github.com/gatsbyjs/gatsby/commits/gatsby@5.13.7/packages/gatsby) (2024-07-12) | [5.13.6](https://github.com/gatsbyjs/gatsby/commits/gatsby@5.13.6/packages/gatsby) (2024-05-29) | [5.13.5](https://github.com/gatsbyjs/gatsby/commits/gatsby@5.13.5/packages/gatsby) (2024-05-17) | [5.13.4](https://github.com/gatsbyjs/gatsby/commits/gatsby@5.13.4/packages/gatsby) (2024-04-10) | [5.13.3](https://github.com/gatsbyjs/gatsby/commits/gatsby@5.13.3/packages/gatsby) (2024-01-25) | [5.13.2](https://github.com/gatsbyjs/gatsby/commits/gatsby@5.13.2/packages/gatsby) (2024-01-23) | [5.13.1](https://github.com/gatsbyjs/gatsby/commits/gatsby@5.13.1/packages/gatsby) (2023-12-22) | [5.13.0](https://github.com/gatsbyjs/gatsby/commits/gatsby@5.13.0/packages/gatsby) (2023-12-18) | [5.12.12](https://github.com/gatsbyjs/gatsby/commits/gatsby@5.12.12/packages/gatsby) (2023-12-07) | [5.12.11](https://github.com/gatsbyjs/gatsby/commits/gatsby@5.12.11/packages/gatsby) (2023-11-22) | [5.12.10](https://github.com/gatsbyjs/gatsby/commits/gatsby@5.12.10/packages/gatsby) (2023-11-21) | [5.12.9](https://github.com/gatsbyjs/gatsby/commits/gatsby@5.12.9/packages/gatsby) (2023-10-26) | [5.12.8](https://github.com/gatsbyjs/gatsby/commits/gatsby@5.12.8/packages/gatsby) (2023-10-20) | [5.12.7](https://github.com/gatsbyjs/gatsby/commits/gatsby@5.12.7/packages/gatsby) (2023-10-17) | [5.12.6](https://github.com/gatsbyjs/gatsby/commits/gatsby@5.12.6/packages/gatsby) (2023-10-09) | [5.12.5](https://github.com/gatsbyjs/gatsby/commits/gatsby@5.12.5/packages/gatsby) (2023-09-27) | [5.12.4](https://github.com/gatsbyjs/gatsby/commits/gatsby@5.12.4/packages/gatsby) (2023-09-05) | [5.12.3](https://github.com/gatsbyjs/gatsby/commits/gatsby@5.12.3/packages/gatsby) (2023-08-28) | [5.12.2](https://github.com/gatsbyjs/gatsby/commits/gatsby@5.12.2/packages/gatsby) (2023-08-28) | [5.12.1](https://github.com/gatsbyjs/gatsby/commits/gatsby@5.12.1/packages/gatsby) (2023-08-24) | [5.12.0](https://github.com/gatsbyjs/gatsby/commits/gatsby@5.12.0/packages/gatsby) (2023-08-24) | [5.11.0](https://github.com/gatsbyjs/gatsby/commits/gatsby@5.11.0/packages/gatsby) (2023-06-15) | [5.10.0](https://github.com/gatsbyjs/gatsby/commits/gatsby@5.10.0/packages/gatsby) (2023-05-16) | [5.9.1](https://github.com/gatsbyjs/gatsby/commits/gatsby@5.9.1/packages/gatsby) (2023-05-09) | [5.9.0](https://github.com/gatsbyjs/gatsby/commits/gatsby@5.9.0/packages/gatsby) (2023-04-18) | [5.8.1](https://github.com/gatsbyjs/gatsby/commits/gatsby@5.8.1/packages/gatsby) (2023-03-29) | [5.8.0](https://github.com/gatsbyjs/gatsby/commits/gatsby@5.8.0/packages/gatsby) (2023-03-21) | [5.7.0](https://github.com/gatsbyjs/gatsby/commits/gatsby@5.7.0/packages/gatsby) (2023-02-21) | [5.6.1](https://github.com/gatsbyjs/gatsby/commits/gatsby@5.6.1/packages/gatsby) (2023-02-16) | [5.6.0](https://github.com/gatsbyjs/gatsby/commits/gatsby@5.6.0/packages/gatsby) (2023-02-07) | [5.5.0](https://github.com/gatsbyjs/gatsby/commits/gatsby@5.5.0/packages/gatsby) (2023-01-24) | [5.4.2](https://github.com/gatsbyjs/gatsby/commits/gatsby@5.4.2/packages/gatsby) (2023-01-17) | [5.4.1](https://github.com/gatsbyjs/gatsby/commits/gatsby@5.4.1/packages/gatsby) (2023-01-13) | [5.4.0](https://github.com/gatsbyjs/gatsby/commits/gatsby@5.4.0/packages/gatsby) (2023-01-10)
21,44,JetBrains/kotlin,https://github.com/JetBrains/kotlin,52875,6337,Kotlin,4868913,master,compiler;programming-language,138412,github_release,https://github.com/JetBrains/kotlin/releases/tag/v2.4.0,Kotlin 2.4.0,59,Kotlin 2.4.0 | Changelog | Analysis API | Analysis API. Code Compilation | Analysis API. FIR | Analysis API. Infrastructure | Fixes | Analysis API. Light Classes | Analysis API. PSI | Analysis API. Providers and Caches | Analysis API. Standalone | Analysis API. Stubs and Decompilation | Analysis API. Surface | New Features | Backend. J2KLIB | Backend. Native. Debug | Backend. Wasm | Compiler | Performance Improvements | Compose compiler | IR. Actualizer | IR. Inlining | IR. Interpreter | IR. Tree | JVM. Reflection | JavaScript | Klibs | Language Design | Libraries | Native | Native. Build Infrastructure | Native. C Export | Native. C and ObjC Import | Native. ObjC Export | Native. Runtime | Native. Runtime. Memory | Native. Swift Export | Tools. BCV | Tools. Build Tools API | Tools. CLI,no,yes,yes,no,yes,yes,github_release,https://github.com/JetBrains/kotlin/releases/tag/v2.4.0,Kotlin 2.4.0,139.41,59,709,96040,Kotlin 2.4.0 | Changelog | Analysis API | Analysis API. Code Compilation | Analysis API. FIR | Analysis API. Infrastructure | Fixes | Analysis API. Light Classes | Analysis API. PSI | Analysis API. Providers and Caches | Analysis API. Standalone | Analysis API. Stubs and Decompilation | Analysis API. Surface | New Features | Backend. J2KLIB | Backend. Native. Debug | Backend. Wasm | Compiler | Performance Improvements | Compose compiler | IR. Actualizer | IR. Inlining | IR. Interpreter | IR. Tree | JVM. Reflection | JavaScript | Klibs | Language Design | Libraries | Native | Native. Build Infrastructure | Native. C Export | Native. C and ObjC Import | Native. ObjC Export | Native. Runtime | Native. Runtime. Memory | Native. Swift Export | Tools. BCV | Tools. Build Tools API | Tools. CLI | Tools. CLI. Native | Tools. Compiler Plugin API | Tools. Compiler Plugins | Tools. Compiler plugins. Serialization | Tools. Gradle | Tools. Gradle. BCV | Tools. Gradle. Compiler plugins | Tools. Gradle. Dokka | Tools. Gradle. JS | Tools. Gradle. Multiplatform
22,45,etcd-io/etcd,https://github.com/etcd-io/etcd,51850,10396,Go,97681,main,database;distributed-systems;kubernetes,24949,github_release,https://github.com/etcd-io/etcd/releases/tag/v3.7.0-rc.0,v3.7.0-rc.0,10,"v3.7.0-rc.0 | Linux | choose either URL | start a local etcd server | write,read to etcd | macOS (Darwin) | Docker | /tmp/etcd-download-test/etcdctl --endpoints=localhost:2379 get foo | /tmp/etcd-download-test/etcdutl version | docker exec etcd-gcr-${ETCD_VER} /usr/local/bin/etcdctl get foo",yes,yes,yes,yes,yes,yes,repo_file,https://raw.githubusercontent.com/etcd-io/etcd/main/CHANGELOG/CHANGELOG-3.4.md,CHANGELOG/CHANGELOG-3.4.md,174.81,80,795,115931,"v3.4.45 (2026-06-01) | Dependencies | v3.4.44 (2026-05-01) | etcd server | v3.4.43 (2026-04-01) | etcdctl | v3.4.42 (2026-03-20) | v3.4.41 (2026-02-13) | Package `clientv3` | v3.4.40 (2025-12-17) | v3.4.39 (2025-11-11) | v3.4.38 (2025-10-21) | v3.4.37 (2025-04-15) | v3.4.36 (2025-02-25) | v3.4.35 (2024-11-12) | v3.4.34 (2024-09-11) | Package clientv3 | v3.4.33 (2024-06-13) | etcd grpc-proxy | v3.4.32 (2024-04-25) | v3.4.31 (2024-03-21) | Others | v3.4.30 (2024-01-31) | v3.4.29 (2024-01-09) | v3.4.28 (2023-11-23) | v3.4.27 (2023-07-11) | etcdctl v3 | v3.4.26 (2023-05-12) | v3.4.25 (2023-04-14) | Docker image | v3.4.24 (2023-02-16) | v3.4.23 (2022-12-21) | v3.4.22 (2022-11-02) | Package `netutil` | v3.4.21 (2022-09-15) | v3.4.20 (2022-08-06) | v3.4.19 (2022-07-12) | Dependency | Security | Go | v3.4.18 (2021-10-15) | Metrics, Monitoring | Other | v3.4.17 (2021-10-03) | `etcdctl` | gRPC gateway | v3.4.16 (2021-05-11) | Metrics | [v3.4.15](https://github.com/etcd-io/etcd/releases/tag/v3.4.15) (2021-02-26) | Package `fileutil`"
23,46,ethereum/go-ethereum,https://github.com/ethereum/go-ethereum,51189,21910,Go,237096,master,blockchain,17109,github_release,https://github.com/ethereum/go-ethereum/releases/tag/v1.17.3,Enzymatic Injector (v1.17.3),7,Enzymatic Injector (v1.17.3) | Geth | Core | Networking | Cryptography | RPC | Others,yes,yes,yes,yes,yes,yes,repo_file,https://raw.githubusercontent.com/ethereum/go-ethereum/master/crypto/secp256k1/libsecp256k1/CHANGELOG.md,crypto/secp256k1/libsecp256k1/CHANGELOG.md,163.5,19,51,12103,Changelog | [Unreleased] | [0.6.0] - 2024-11-04 | Added | Changed | Removed | ABI Compatibility | [0.5.1] - 2024-08-01 | Fixed | [0.5.0] - 2024-05-06 | [0.4.1] - 2023-12-21 | [0.4.0] - 2023-09-04 | [0.3.2] - 2023-05-13 | Security | [0.3.1] - 2023-04-10 | [0.3.0] - 2023-03-08 | [0.2.0] - 2022-12-12 | Deprecated | [0.1.0] - 2013-03-05 to 2021-12-25
24,47,dbeaver/dbeaver,https://github.com/dbeaver/dbeaver,50599,4243,Java,214070,devel,database,28727,github_release,https://github.com/dbeaver/dbeaver/releases/tag/26.1.0,26.1.0,1,26.1.0,no,no,no,no,no,yes,github_release,https://github.com/dbeaver/dbeaver/releases/tag/26.0.4,26.0.4,38.54,1,38,3804,26.0.4
25,49,x64dbg/x64dbg,https://github.com/x64dbg/x64dbg,48663,2753,C++,64473,development,security,6141,github_release,https://github.com/x64dbg/x64dbg/releases/tag/2026.05.27,2026.05.27,3,2026.05.27 | May 2026: Small hotfix release | 📜 Changelog,no,yes,yes,no,yes,yes,github_release,https://github.com/x64dbg/x64dbg/releases/tag/2025.08.19,2025.08.19,118.92,12,71,11669,2025.08.19 | August 2025: Bug fixes and stability | 🐛 Bugs | ❓ Documentation | 🔎 Tracing | 🤖 Scripting | 🐧 Cross Platform | 🤝 Community | ❤️ Sponsors | 📜 Changelog | help Show this message. (optional) | ret
26,51,ClickHouse/ClickHouse,https://github.com/ClickHouse/ClickHouse,48087,8528,C++,7174852,master,big-data;cloud-native;database,241354,repo_file,https://raw.githubusercontent.com/ClickHouse/ClickHouse/master/CHANGELOG.md,CHANGELOG.md,12,"Watch all release presentations and videos at [ClickHouse Theater](https://presentations.clickhouse.com/) and [YouTube Playlist](https://www.youtube.com/playlist?list=PL0Z2YDlm0b3jAlSy1JxyP8zluvXaN3nxU). | Table of Contents | 2026 Changelog | ClickHouse release 26.5, 2026-05-21. [Presentation](https://presentations.clickhouse.com/2026-release-26.5/), [Video](https://www.youtube.com/watch?v=P1IDAvsi7p8) | Backward Incompatible Change | New Feature | Experimental Feature | Performance Improvement | Improvement | Bug Fix (user-visible misbehavior in an official stable release) | Build/Testing/Packaging Improvement | ClickHouse release 26.4, 2026-04-30. [Presentation](https://presentations.clickhouse.com/2026-release-26.4/), [Video](https://www.youtube.com/watch?v=9lSVy7k2EoI)",yes,yes,yes,yes,yes,yes,repo_file,https://raw.githubusercontent.com/ClickHouse/ClickHouse/master/CHANGELOG.md,CHANGELOG.md,159,12,797,250000,"Watch all release presentations and videos at [ClickHouse Theater](https://presentations.clickhouse.com/) and [YouTube Playlist](https://www.youtube.com/playlist?list=PL0Z2YDlm0b3jAlSy1JxyP8zluvXaN3nxU). | Table of Contents | 2026 Changelog | ClickHouse release 26.5, 2026-05-21. [Presentation](https://presentations.clickhouse.com/2026-release-26.5/), [Video](https://www.youtube.com/watch?v=P1IDAvsi7p8) | Backward Incompatible Change | New Feature | Experimental Feature | Performance Improvement | Improvement | Bug Fix (user-visible misbehavior in an official stable release) | Build/Testing/Packaging Improvement | ClickHouse release 26.4, 2026-04-30. [Presentation](https://presentations.clickhouse.com/2026-release-26.4/), [Video](https://www.youtube.com/watch?v=9lSVy7k2EoI)"
27,53,metabase/metabase,https://github.com/metabase/metabase,47715,6551,Clojure,1999112,master,database,42837,github_release,https://github.com/metabase/metabase/releases/tag/v0.62.2,Metabase 62.2,5,Metabase 62.2 | Upgrading | Metabase Open Source | Metabase Enterprise | Changelog,no,yes,yes,no,yes,yes,repo_file,https://raw.githubusercontent.com/metabase/metabase/master/enterprise/frontend/src/embedding-sdk-package/CHANGELOG.md,enterprise/frontend/src/embedding-sdk-package/CHANGELOG.md,139.0,56,314,79254,Embedding SDK package changelog | 0.57.0 and above | Features | Legacy changelog (before `@metabase/embedding-sdk-react@57`) | [0.56.3](https://github.com/metabase/metabase/compare/embedding-sdk-0.56.2...embedding-sdk-0.56.3) (2025-08-29) | Bug Fixes | [0.56.2](https://github.com/metabase/metabase/compare/embedding-sdk-0.56.1-nightly...embedding-sdk-0.56.2) (2025-08-08) | [0.56.1-nightly](https://github.com/metabase/metabase/compare/embedding-sdk-0.55.1-nightly...embedding-sdk-0.56.1-nightly) (2025-08-01) | [0.55.5-metabot](https://github.com/metabase/metabase/compare/embedding-sdk-0.55.4-metabot...embedding-sdk-0.55.5-metabot) (2025-05-07) | [0.55.4-metabot](https://github.com/metabase/metabase/compare/embedding-sdk-0.55.3-metabot...embedding-sdk-0.55.4-metabot) (2025-04-23) | [0.55.3-metabot](https://github.com/metabase/metabase/compare/embedding-sdk-0.55.2-metabot...embedding-sdk-0.55.3-metabot) (2025-04-22) | [0.55.2-metabot](https://github.com/metabase/metabase/compare/embedding-sdk-0.55.1-metabot...embedding-sdk-0.55.2-metabot) (2025-04-22) | [0.55.1-metabot](https://github.com/metabase/metabase/compare/embedding-sdk-0.55.1-nightly...embedding-sdk-0.55.1-metabot) (2025-04-04) | [0.55.1-nightly](https://github.com/metabase/metabase/compare/embedding-sdk-0.54.3-nightly...embedding-sdk-0.55.1-nightly) (2025-04-04) | [0.54.3-nightly](https://github.com/metabase/metabase/compare/embedding-sdk-0.54.2-nightly...embedding-sdk-0.54.3-nightly) (2025-02-26) | [0.54.2-nightly](https://github.com/metabase/metabase/compare/embedding-sdk-0.54.1-nightly...embedding-sdk-0.54.2-nightly) (2025-02-25) | [0.54.1-nightly](https://github.com/metabase/metabase/compare/embedding-sdk-0.53.1-nightly...embedding-sdk-0.54.1-nightly) (2025-02-17) | [0.53.1-nightly](https://github.com/metabase/metabase/compare/embedding-sdk-0.52.4-nightly...embedding-sdk-0.53.1-nightly) (2025-01-13) | [0.52.4-nightly](https://github.com/metabase/metabase/compare/embedding-sdk-0.52.3-nightly...embedding-sdk-0.52.4-nightly) (2024-12-16) | [0.52.3-nightly](https://github.com/metabase/metabase/compare/embedding-sdk-0.52.2-nightly...embedding-sdk-0.52.3-nightly) (2024-11-29) | [0.52.2-nightly](https://github.com/metabase/metabase/compare/embedding-sdk-0.52.1-nightly...embedding-sdk-0.52.2-nightly) (2024-11-21) | [0.52.1](https://github.com/metabase/metabase/compare/embedding-sdk-0.1.38...embedding-sdk-0.52.1-nightly) (2024-11-07) | [0.1.38](https://github.com/metabase/metabase/compare/embedding-sdk-0.1.37...embedding-sdk-0.1.38) (2024-10-09) | [0.51.0](https://github.com/metabase/metabase/compare/embedding-sdk-0.1.37...embedding-sdk-0.51.0) (2024-10-08) | [0.1.37](https://github.com/metabase/metabase/compare/embedding-sdk-0.1.36...embedding-sdk-0.1.37) (2024-10-02) | [0.1.36](https://github.com/metabase/metabase/compare/embedding-sdk-0.1.35...embedding-sdk-0.1.36) (2024-09-09) | [0.1.35](https://github.com/metabase/metabase/compare/embedding-sdk-0.1.34...embedding-sdk-0.1.35) (2024-09-06) | [0.1.34](https://github.com/metabase/metabase/compare/embedding-sdk-0.1.33...embedding-sdk-0.1.34) (2024-09-02) | [0.1.33](https://github.com/metabase/metabase/compare/embedding-sdk-0.1.32...embedding-sdk-0.1.33) (2024-08-30) | [0.1.32](https://github.com/metabase/metabase/compare/embedding-sdk-0.1.31...embedding-sdk-0.1.32) (2024-08-23) | [0.1.31](https://github.com/metabase/metabase/compare/embedding-sdk-0.1.30...embedding-sdk-0.1.31) (2024-08-16) | [0.1.30](https://github.com/metabase/metabase/compare/embedding-sdk-0.1.29...embedding-sdk-0.1.30) (2024-08-13) | [0.1.29](https://github.com/metabase/metabase/compare/embedding-sdk-0.1.28...embedding-sdk-0.1.29) (2024-08-09) | [0.1.28](https://github.com/metabase/metabase/compare/embedding-sdk-0.1.27...embedding-sdk-0.1.28) (2024-08-08) | [0.1.27](https://github.com/metabase/metabase/compare/embedding-sdk-0.1.26...embedding-sdk-0.1.27) (2024-08-07) | [0.1.26](https://github.com/metabase/metabase/compare/embedding-sdk-0.1.25...embedding-sdk-0.1.26) (2024-08-02) | [0.1.25](https://github.com/metabase/metabase/compare/embedding-sdk-0.1.24...embedding-sdk-0.1.25) (2024-07-29) | [0.1.24](https://github.com/metabase/metabase/compare/embedding-sdk-0.1.23...embedding-sdk-0.1.24) (2024-07-24) | [0.1.23](https://github.com/metabase/metabase/compare/embedding-sdk-0.1.22...embedding-sdk-0.1.23) (2024-07-23) | [0.1.22](https://github.com/metabase/metabase/compare/embedding-sdk-0.1.21...embedding-sdk-0.1.22) (2024-07-19) | [0.1.21](https://github.com/metabase/metabase/compare/embedding-sdk-0.1.20...embedding-sdk-0.1.21) (2024-07-18) | [0.1.20](https://github.com/metabase/metabase/compare/embedding-sdk-0.1.19...embedding-sdk-0.1.20) (2024-07-16) | [0.1.19](https://github.com/metabase/metabase/compare/embedding-sdk-0.1.18...embedding-sdk-0.1.19) (2024-07-15) | [0.1.18](https://github.com/metabase/metabase/compare/embedding-sdk-0.1.17...embedding-sdk-0.1.18) (2024-07-12) | [0.1.17](https://github.com/metabase/metabase/compare/embedding-sdk-0.1.16...embedding-sdk-0.1.17) (2024-07-10) | [0.1.16](https://github.com/metabase/metabase/compare/embedding-sdk-0.1.15...embedding-sdk-0.1.16) (2024-07-03) | [0.1.15](https://github.com/metabase/metabase/compare/embedding-sdk-0.1.14...embedding-sdk-0.1.15) (2024-06-28) | [0.1.14](https://github.com/metabase/metabase/compare/embedding-sdk-0.1.13...embedding-sdk-0.1.14) (2024-06-26) | [0.1.13](https://github.com/metabase/metabase/compare/embedding-sdk-0.1.12...embedding-sdk-0.1.13) (2024-06-21) | [0.1.12](https://github.com/metabase/metabase/compare/embedding-sdk-0.1.11...embedding-sdk-0.1.12) (2024-06-20)
28,54,v2ray/v2ray-core,https://github.com/v2ray/v2ray-core,46878,8843,Go,55242,master,proxy,5389,github_release,https://github.com/v2ray/v2ray-core/releases/tag/v4.31.0,v4.31.0,9,v4.31.0 | Warning | Fixes | Features | Refactor | Chores | Build and compiling | Notice | Download: https://github.com/v2fly/v2ray-core/releases/tag/v4.31.0,no,yes,yes,no,yes,yes,external_link_from_github_release,https://github.com/v2fly/v2ray-core/releases/tag/v4.31.0,https://github.com/v2fly/v2ray-core/releases/tag/v4.31.0,108.0,19,0,223469,"Navigation Menu | Search code, repositories, users, issues, pull requests... | Provide feedback | Saved searches | Use saved searches to filter your results more quickly | v4.31.0 | Choose a tag to compare | Sorry, something went wrong. | Uh oh! | No results found | Warning | Fixes | Features | Refactor | Chores | Build and compiling | Notice | Footer | Footer navigation"
29,55,prisma/prisma,https://github.com/prisma/prisma,46313,2244,TypeScript,168804,main,database,12226,github_release,https://github.com/prisma/prisma/releases/tag/7.8.0,7.8.0,7,7.8.0 | Highlights | ORM | Features | Bug Fixes | Open roles at Prisma | Enterprise support,yes,no,yes,no,no,yes,github_release,https://github.com/prisma/prisma/releases/tag/7.6.0,7.6.0,84.3,8,11,4300,7.6.0 | Highlights | ORM | Features | Bug Fixes | Prisma Studio | Open roles at Prisma | Enterprise support
30,58,milvus-io/milvus,https://github.com/milvus-io/milvus,44823,4072,Go,302057,master,cloud-native,24880,github_release,https://github.com/milvus-io/milvus/releases/tag/v2.6.18,milvus-2.6.18,7,milvus-2.6.18 | v2.6.18 | Features | Nullable vector | Element-level search on Struct fields | Improvements | Bug fixes,no,yes,yes,no,yes,yes,github_release,https://github.com/milvus-io/milvus/releases/tag/v3.0-beta,milvus-3.0.0-beta,92.35,14,0,8903,"milvus-3.0.0-beta | v3.0-beta | Key Features | External Collection | Snapshot | Query / Search Order By | Query Aggregation | Null Vector | Custom Dictionary & Synonym Dictionary | Entity TTL | MinHash DIDO (Doc-in, Doc-out) | EmbList + DISKANN | Force Merge | Storage V3"
31,60,getsentry/sentry,https://github.com/getsentry/sentry,44120,4727,Python,895426,master,devops;monitoring,105555,github_release,https://github.com/getsentry/sentry/releases/tag/26.6.0,26.6.0,75,26.6.0 | New Features ✨ | Api | Attributes | Autofix | Cells | Cmdk | Events | Explore | Ingest | Integrations | Issues | Jira Server | Onboarding | Ourlogs | Pr Metrics | Preprod | Replays | Scm Multi Platform Detetion | Search | Seer | Seer Activity | Seer Infra Telemetry | Spans | Taskbroker | Teams | Trace Waterfall | Tracemetrics | Vercel | Vsts | Webhooks | Weekly Report | Other | Bug Fixes 🐛 | Aci | Charts | Ci | Dashboards | Deletions | Grouping,no,yes,yes,no,yes,yes,github_release,https://github.com/getsentry/sentry/releases/tag/26.4.2,26.4.2,139.66,76,833,108199,26.4.2 | New Features ✨ | Aci | Admin | Autofix | Billing | Cmdk | Dashboards | Discover | Dynamic Sampling | Eslint | Explore | Explorer | Integrations | Issues | Minidump | Night Shift | Nightshift | Notifications | Onboarding | Ourlogs | Preprod | Projects | Releases | Replays | Repos | Search | Seer | Seer Explorer | Seer Slack | Sentry Apps | Slack | Snapshots | Source Map Config Issues | Spans | Supergroups | Tracemetrics | Users | Other | Bug Fixes 🐛 | a-i Conversations | Alerts | Api | Ci | Conversations | Detectors | Drawer | Experiments | Hotkey | Metrics
32,61,parcel-bundler/parcel,https://github.com/parcel-bundler/parcel,44030,2279,JavaScript,64758,v2,compiler,3499,github_release,https://github.com/parcel-bundler/parcel/releases/tag/v2.16.2,v2.16.2,2,v2.16.2 | Fixed,no,no,yes,no,no,yes,repo_file,https://raw.githubusercontent.com/parcel-bundler/parcel/v2/CHANGELOG.md,CHANGELOG.md,105,80,1149,129214,Changelog | [2.16.4] – 2026-02-01 | Fixed | [2.16.3] – 2025-12-06 | [2.16.2] – 2025-12-06 | [2.16.1] – 2025-11-04 | [2.16.0] – 2025-09-18 | Added | [2.15.3] – 2025-06-20 | [2.15.2] - 2025-05-24 | [2.15.1] - 2025-05-15 | [2.15.0] - 2025-05-11 | [2.14.4] - 2025-03-29 | [2.14.3] - 2025-03-28 | [2.14.2] - 2025-03-23 | [2.14.1] - 2025-03-19 | [2.14.0] - 2025-03-18 | [2.13.3] - 2024-12-16 | [2.13.2] - 2024-11-25 | [2.13.1] - 2024-11-24 | [2.13.0] - 2024-11-12 | [2.12.0] - 2024-02-28 | Unstable | [2.11.0] - 2023-12-19 | [2.10.3] - 2023-11-14 | [2.10.2] - 2023-11-01 | [2.10.1] – 2023-10-23 | [2.10.0] – 2023-10-11 | [2.9.3] – 2023-06-24 | [2.9.2] - 2023-06-08 | [2.9.1] - 2023-06-07 | [2.9.0] - 2023-05-26 | [2.8.3] - 2023-01-18 | [2.8.2] - 2022-12-14 | [2.8.1] - 2022-12-07 | [2.8.0] - 2022-11-09 | [2.7.0] - 2022-08-03 | [2.6.2] - 2022-06-21 | [2.6.1] - 2022-06-17 | [2.6.0] - 2022-05-25 | [2.5.0] - 2022-04-21 | [2.4.1] - 2022-03-31 | [2.4.0] - 2022-03-22 | [2.3.1] - 2022-02-09 | Fixed | [2.3.0] - 2022-02-09 | Added | [2.2.1] - 2022-01-17 | [2.2.0] - 2022-01-12 | [2.1.1] - 2022-01-06
33,62,babel/babel,https://github.com/babel/babel,43998,5827,TypeScript,144429,main,compiler,18562,github_release,https://github.com/babel/babel/releases/tag/v8.0.1,v8.0.1,4,v8.0.1 | v8.0.1 (2026-06-17) | :boom: Breaking Change | Committers: 2,yes,yes,yes,yes,yes,yes,repo_file,https://raw.githubusercontent.com/babel/babel/main/.github/CHANGELOG-v6.md,.github/CHANGELOG-v6.md,175,80,1510,192424,"Babel v6 Changelog | 6.26.3 (2018-04-27) | 6.26.2 (2018-04-26) | 6.26.1 (2018-02-03) | 6.26.0 (2017-08-16) | :eyeglasses: Spec Compliance | :rocket: New Feature | :bug: Bug Fix | :memo: Documentation | :house: Internal | Committers: 19 | 6.25.0 (2017-06-08) | :nail_care: Polish | Committers: 5 | 6.24.0 (2017-03-13) | Committers: 14 | 6.23.1 (2017-02-13) | 6.23.0 (2017-02-13) | Committers: 20 | 6.22.2 (2017-01-19) | 6.22.1 (2017-01-19) | 6.22.0 (2017-01-19) | Committers: 23, First PRs: 10 | 6.21.1 (2016-12-17) | 6.21.0 (2016-12-16) | Committers: 9 | v6.20.3 (2016-12-08) | :cry: Regression | v6.20.2 (2016-12-08) | v6.20.1 (2016-12-08) | v6.20.0 (2016-12-08) | Committers: 17 | v6.19.0 (2016-11-16) | Committers: 10 | v6.18.2 (2016-11-01) | Commiters: 4 | v6.18.1 (2016-11-01) | v6.18.0 (2016-10-24) | Documentation | Commiters: 17 | v6.17.0 (2016-10-01) | v6.16.0 (2016-09-28) | Commiters: 20 | v6.15.0 (2016-08-31) | New Feature | Bug Fix | Internal | v6.14.0 (2016-08-23) TAKE ME TO FLAVOR TOWN | Notable Bug Fixes | Guy Fieri"
